2011-01-10,1000000.00
2011-01-11,998785.00
2011-01-12,1002940.00
2011-01-13,1004815.00
2011-01-14,1009415.00
2011-01-18,1011935.00
2011-01-19,1031495.00
2011-01-20,1031935.00
2011-01-21,1030775.00
2011-01-24,1046815.00
2011-01-25,1053855.00
2011-01-26,1052295.00
2011-01-27,1052705.00
2011-01-28,1029665.00
2011-01-31,1039875.00
2011-02-01,1056635.00
2011-02-02,1056595.00
2011-02-03,1055505.00
2011-02-04,1058775.00
2011-02-07,1062765.00
2011-02-08,1076175.00
2011-02-09,1070495.00
2011-02-10,1065755.00
2011-02-11,1072855.00
2011-02-14,1074065.00
2011-02-15,1068585.00
2011-02-16,1070815.00
2011-02-17,1075135.00
2011-02-18,1082315.00
2011-02-22,1051165.00
2011-02-23,1045355.00
2011-02-24,1045175.00
2011-02-25,1052275.00
2011-02-28,1054075.00
2011-03-01,1033995.00
2011-03-02,1034745.00
2011-03-03,1056475.00
2011-03-04,1053577.00
2011-03-07,1050247.00
2011-03-08,1054369.00
2011-03-09,1060651.00
2011-03-10,1053919.00
2011-03-11,1054639.00
2011-03-14,1052803.00
2011-03-15,1048645.00
2011-03-16,1038079.00
2011-03-17,1040149.00
2011-03-18,1043155.00
2011-03-21,1046287.00
2011-03-22,1046863.00
2011-03-23,1049545.00
2011-03-24,1050445.00
2011-03-25,1054189.00
2011-03-28,1052767.00
2011-03-29,1055431.00
2011-03-30,1056691.00
2011-03-31,1055755.00
2011-04-01,1057861.00
2011-04-04,1057825.00
2011-04-05,1057375.00
2011-04-06,1057465.00
2011-04-07,1058059.00
2011-04-08,1057483.00
2011-04-11,1057303.00
2011-04-12,1056079.00
2011-04-13,1057303.00
2011-04-14,1059085.00
2011-04-15,1061263.00
2011-04-18,1060795.00
2011-04-19,1059841.00
2011-04-20,1058707.00
2011-04-21,1064899.00
2011-04-25,1063837.00
2011-04-26,1065277.00
2011-04-27,1068571.00
2011-04-28,1069291.00
2011-04-29,1068931.00
2011-05-02,1071685.00
2011-05-03,1072963.00
2011-05-04,1065703.00
2011-05-05,1058773.00
2011-05-06,1062568.00
2011-05-09,1063261.00
2011-05-10,1067386.00
2011-05-11,1064548.00
2011-05-12,1073392.00
2011-05-13,1065901.00
2011-05-16,1062469.00
2011-05-17,1067782.00
2011-05-18,1067584.00
2011-05-19,1068079.00
2011-05-20,1066693.00
2011-05-23,1060555.00
2011-05-24,1059664.00
2011-05-25,1058905.00
2011-05-26,1057057.00
